"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
"1","00849602","裕光水電工程有限公司","基隆市信義區信二路154號之2","","1000000","0711118","1030612"
"2","01195088","仁義傳播事業有限公司","臺北市中山區林森北路289號9樓之3","","2000000","0741102","1030630"
"3","01867986","鍇億針織股份有限公司","新北市樹林區新興街7號","","1000000","0741012","1030627"
"4","01978168","岱岳工業股份有限公司","臺北市大同區昌吉街102號1樓","","5200000","0740719","1030623"
"5","02487648","睿友工業有限公司","桃園縣八德市介壽路二段三六四巷六一弄二九衖四號","","5000000","0741012","1030606"
"6","02845954","新穎工藝品有限公司","新竹縣竹北市十興里勝利七街1段200號1樓","","5000000","0740731","1030618"
"7","04608865","富安水電工程承設有限公司","臺北市萬華區西園路2段261巷38弄7號2樓","","5000000","0620724","1030626"
"8","04626673","高陽文具印刷有限公司","臺北市中山區新生北路2段137巷7號","","2000000","0640522","1030610"
"9","04632675","冠鼎有限公司","新北市永和區大新街八一號一樓","","6000000","0641013","1030605"
"10","04756838","弘宜機電有限公司","臺北市中山區錦州街426巷1弄14號1樓","","2000000","0650617","1030604"
"11","04764823","一宏鋼鐵股份有限公司","","","0","0621115","1030603"
"12","04806909","臺榮工程有限公司","臺北市內湖區內湖路1段323巷21弄33號3樓","","2000000","0690702","1030617"
"13","04904872","翔帆企業有限公司","新北市新店區安康路二段264巷3號2樓","","5000000","0710513","1030606"
"14","04984002","來興行有限公司","嘉義市西區劉厝里國泰新村１８號１樓","","1180000","0650322","1030617"
"15","05080571","翊翼企業有限公司","臺北市松山區光復南路13巷5號1樓","","3000000","0730911","1030611"
"16","05500898","至紘貿易有限公司","臺北市南港區忠孝東路6段320號6樓","","2600000","0721207","1030620"
"17","06116730","埔里魚市場股份有限公司","南投縣埔里鎮南門里南盛街88號","","1000000","0740416","1030618"
"18","07419711","隆豐發實業有限公司","臺北市北投區明德路146號3樓","","5000000","0580423","1030610"
"19","07505912","台洋印刷有限公司","臺北市大同區迪化街2段284巷3號1樓","","8000000","0590327","1030613"
"20","09427224","科技企業股份有限公司","臺北市士林區福國路94號3樓","","5000000","0721103","1030618"
"21","09442294","正瀚企業有限公司","臺北市士林區承德路4段290號12樓","","7000000","0730512","1030606"
"22","12108337","圓珠企業有限公司","臺北市松山區松山路119巷17弄11號1樓","","5000000","0660127","1030623"
"23","12277229","伯實企業有限公司","臺北市中山區長安東路2段67號6樓之3","","7000000","0690502","1030630"
"24","12336894","合風企業有限公司","臺北市中正區辛亥路1段98號7樓","","5000000","0700625","1030609"
"25","12365980","汎加國際有限公司","臺北市信義區松信路25號3樓","","7000000","0750526","1030616"
"26","12483298","中杰貿易有限公司","臺中市西區公正里向上路一段五三一號一樓","","5000000","0730314","1030630"
"27","12549209","正鍏國際貿易有限公司","臺北市大安區復興南路1段103號5樓之7","","5000000","0740418","1030620"
"28","12554130","祥泰茶業有限公司","新北市坪林區坪林里水柳腳路八一號","","5000000","0740516","1030609"
"29","12603527","通信網國際有限公司","新北市鶯歌區南靖里文化路三九三巷六弄一之二號","","1000000","0890821","1030623"
"30","12632059","上八實業有限公司","臺中市沙鹿區正英路385巷15號1樓","","5000000","0891011","1030626"
"31","12634423","原凱國際有限公司","新北市板橋區僑中三街9號　","","1000000","0891016","1030609"
"32","12674629","煇弘有限公司","臺北市南港區忠孝東路6段225巷3弄6號1樓","","1000000","0891219","1030620"
"33","12689073","鎰聯有限公司","臺北市大安區金山南路2段18號9樓","","500000","0900222","1030620"
"34","12709726","禧林工業股份有限公司","新北市汐止區大同路3段369巷30號2樓","","20000000","0891127","1030624"
"35","12723419","協佳興科技股份有限公司","桃園縣蘆竹市蘆竹村20鄰蘆竹街137號","","25000000","0891218","1030610"
"36","12737413","宇堡貿易有限公司","臺中市西屯區何成里大隆路167號2樓","","25000000","0900116","1030623"
