序號,統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准解散日期
62,13170999,佶諦有限公司,高雄市三民區鼎泰里鼎和街45巷9號12樓,null,500000,0910415,1020520
63,13192190,格林奈有限公司,高雄市三民區民族1路702之22號10樓,null,500000,0911202,1020509
64,13195154,三澤企業有限公司,高雄市小港區華立街2號8樓,null,5000000,0920106,1020513
65,15128434,全昱創意企業有限公司,臺北市大安區忠孝東路3段251巷7弄2號1樓,null,5000000,0611114,1020501
66,15511634,寶洋企業有限公司,臺南市永康區鹽行里中正路六三五巷一弄二○號,null,500000,0600121,1020521
67,15893056,東奇照相打字有限公司,臺北市士林區社子街92號1樓,null,5000000,0700610,1020515
68,15948355,上耀有限公司,臺北市萬華區西園路2段140巷79號2樓,null,5000000,0720323,1020530
69,16020609,富唐建設股份有限公司,苗栗縣苗栗市玉清里玉清路三八號,null,15000000,0860530,1020520
70,16051601,上正投資有限公司,臺南市善化區東關里中正路649巷10號1樓,null,22000000,0860630,1020522
71,16058793,寶寰生物科技有限公司,新竹縣湖口鄉新湖路卅五號,null,1000000,0860707,1020502
72,16076194,進易股份有限公司,臺中市東區十甲里十甲路281巷31號1樓,null,6000000,0860725,1020506
73,16081892,中經合國際創業投資股份有限公司,臺北市大安區敦化南路2段76號10樓之2,null,5920000,0860510,1020530
74,16122134,瑞統有限公司,高雄市三民區堯山街38號,null,5000000,0861212,1020523
75,16144833,達興出版有限公司,臺北市內湖區民權東路6段136巷37弄2號1樓,null,1000000,0860809,1020531
76,16160853,至壯實業有限公司,新北市板橋區縣民大道三段33巷1弄26號3樓,null,2000000,0860926,1020530
77,16165549,瑜昇工程有限公司,新北市板橋區幸福路62之2號,null,1000000,0861008,1020524
78,16184715,順豐興企業有限公司,新北市板橋區民生路一段三三號一０樓之三,null,5000000,0860801,1020515
79,16231294,旻旭食品有限公司,屏東縣屏東市大武里武士路三九號,null,500000,0860930,1020528
80,16263035,信庭企業有限公司,臺南市仁德區新田里勝利路132巷10弄19號,null,1000000,0861107,1020529
81,16283927,康題有限公司,臺北市信義區忠孝東路5段412號17樓之6,null,25000000,0861128,1020508
82,16289555,旭隆國際有限公司,臺北市大同區南京西路352號6樓,null,5000000,0861213,1020501
83,16291840,菖立有限公司,臺北市文山區興隆路3段251號1樓,null,1000000,0861220,1020502
84,16293283,辰泰投資有限公司,臺北市大安區敦化南路2段2號16樓,null,50000000,0861226,1020502
85,16298597,小亞實業有限公司,新北市永和區秀朗路二段一六一巷二二號一樓,null,500000,0870116,1020520
86,16299110,嘉城國際股份有限公司,臺北市中山區松江路156巷31號1樓,null,500000,0870119,1020522
87,16303424,恩晟實業股份有限公司,臺北市文山區溪洲街67號1樓,null,2000000,0870209,1020516
88,16337487,首里建設股份有限公司,null,null,0,0861209,1020502
89,16352563,群邦資訊網路股份有限公司,臺中市西區中興里一○鄰公正路一○四號一樓　,null,36000000,0861226,1020502
90,16357589,隆楹建材有限公司,嘉義市西區博愛路2段109號,null,2500000,0870102,1020529
91,16358031,奕彤有限公司,彰化縣秀水鄉義興村義興街156號,null,9000000,0870102,1020516
92,16397251,印奕企業有限公司,新北市三重區河邊北街100巷31號,null,15000000,0870309,1020513
93,16408834,首閎通商有限公司,嘉義市保安里世賢路1段634號,null,1000000,0870323,1020528
94,16421359,仁實有限公司,高雄市岡山區後協里七鄰柳橋西路一段一六號,null,1000000,0870408,1020520
95,16465644,安嘉鋼鐵有限公司,高雄市三民區恆豐街320號,null,20000000,0870904,1020429
96,16491798,安益源國際工程有限公司,嘉義縣朴子市仁和里１鄰小榔一路３１３號,null,12000000,0870501,1020508
97,16499406,灃濱輪胎有限公司,新北市永和區信義路四五號一樓,null,2000000,0870512,1020502
