"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
1,"02947241","帕德股份有限公司","臺中市北屯區遼陽五街三五號一樓","",5000000,"0740925","1020226"
2,"04231539","俊弘貿易股份有限公司","臺北市大安區和平東路2段49之1號10樓之1","",6000000,"0631016","1020220"
3,"04259402","堅信實業有限公司","新北市汐止區東山里汐平路二段四五號二樓","",1000000,"0650103","1020207"
4,"04433872","賢弘企業有限公司","臺北市大安區羅斯福路3段125號8樓之4","",5000000,"0680430","1020207"
5,"04480059","德鎮企業有限公司","臺北市大同區雙連街39巷22號3樓","",2000000,"0691010","1020221"
6,"04528053","承達國際有限公司","臺北市大安區和平東路2段49之1號10樓之1","林文松",700000,"0620818","1020222"
7,"04537150","沛緹生技股份有限公司","新北市土城區永寧里永平街8號","",10000000,"0630212","1020227"
8,"04579067","新茂化工企業有限公司","臺北市萬華區和平西路3段382巷2弄11號1樓","",5000000,"0650114","1020220"
9,"04634821","家和彩色製版有限公司","臺北市萬華區萬大路576號","",3000000,"0750115","1020220"
10,"04831490","永桀企業有限公司","新北市板橋區大勇街62號1樓","",5000000,"0711123","1020221"
11,"05025986","力豐紙業股份有限公司","臺北市中正區和平西路2段21號","",2000000,"0700203","1020208"
12,"05051920","喜華有限公司","臺北市北投區文化北路104號2樓","",1000000,"0680508","1020220"
13,"05132796","興騎企業有限公司","臺北市中正區羅斯福路4段24巷1號","",1000000,"0720601","1020227"
14,"06384382","龍門圖書股份有限公司","臺南市中西區法華街一一五號","",5500000,"0741217","1020227"
15,"06773740","胤銘精密工業有限公司","高雄市鼓山區光榮里建榮路40號","",2000000,"0741001","1020207"
16,"06782608","聯曜企業有限公司","臺北市松山區忠孝東路4段293號7樓4室","",5000000,"0751008","1020223"
17,"09425181","元大達工業有限公司","新北市新店區百忍街１０巷１４號１樓","",10000000,"0721015","1020222"
18,"09472655","德因企業有限公司","臺北市大安區信義路2段208號11樓","",5000000,"0740321","1020222"
19,"11734888","新惠德企業股份有限公司","臺北市松山區南京東路3段285號7樓","",5000000,"0591229","1020223"
20,"12020213","穩好汽車有限公司","臺北市中山區新生北路1段11之7號","",1000000,"0540715","1020201"
21,"12148513","養樂食品股份有限公司","","",0,"0690725","1020227"
22,"12235880","豐鉅企業有限公司","臺北市中山區民生東路3段25號11樓","",5000000,"0680714","1020205"
23,"12296204","威律股份有限公司","臺北市大安區新生南路1段165巷11號1樓","",7000000,"0690918","1020223"
24,"12501789","優鍾企業股份有限公司","臺北市中山區松江路274號5樓","",5000000,"0730516","1020206"
25,"12605876","全益精密鋼模有限公司","新北市樹林區三俊街一二六巷一六號一樓","",1000000,"0890817","1020225"
26,"12625536","立昌投資有限公司","新竹市民生路193號4樓之10","",30000000,"0890928","1020205"
27,"12632620","家正有限公司","新北市永和區永利路77號1樓　　　　　　　　　　　　　　　　　　　　　","",500000,"0891012","1020201"
28,"12635083","北辰投資有限公司","新北市新店區安德街71巷12號4樓","",5000000,"0891016","1020227"
29,"12649988","湯偉有限公司","臺南市永康區西勢里富強路二段19巷14弄18號1樓","",1000000,"0891108","1020223"
30,"12650252","立輝投資股份有限公司","新北市中和區景平路六六六號二樓","",1000000,"0890926","1020227"
31,"12655735","鴻賓國際資訊有限公司","新北市蘆洲區民義街101巷17號2樓","",2000000,"0891014","1020227"
32,"12671524","如憶有限公司","臺北市內湖區瑞光路478巷18弄32號8樓","",5000000,"0891208","1020201"
33,"12684078","弘逸電子有限公司","臺北市文山區景後街97號3樓之2","",10000000,"0900205","1020223"
34,"12695835","創世達實業有限公司","新北市永和區保生路5巷1號13樓","",2000000,"0900320","1020220"
35,"12701908","永富電腦有限公司","高雄市大寮區鳳屏一路314號","",1000000,"0891113","1020205"
36,"12710505","七七文化事業有限公司","臺中市西屯區漢成三街4號","",1000000,"0891128","1020222"
