"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
"60","13092713","黃怡翔博士有限公司","臺北市中山區南京東路2段71號10樓之1","","2000000","0910311","1040324"
"61","13095866","中允國際有限公司","臺北市中正區青島東路9號3樓之1","","10000000","0910320","1040318"
"62","13096859","斯立普科技有限公司","臺北市松山區南京東路4段186號9樓之2","","5000000","0910322","1040309"
"63","13100761","潤柏國際有限公司","臺北市大安區信義路4段400巷6弄4號1樓","","5000000","0910403","1040303"
"64","13103866","喜相逢餐廳股份有限公司","新北市泰山區仁德路101號10樓","","10000000","0910411","1040303"
"65","13131440","喬翔資源回收有限公司","桃園市桃園區正光街143巷2之4號5樓","","5000000","0910621","1040310"
"66","13146838","侑祥五金有限公司","高雄市左營區文慈路196號16樓之3","","1000000","0900425","1040320"
"67","13163245","德耀建設企業有限公司","高雄市前鎮區一心一路243號5樓之1","","25000000","0910111","1040312"
"68","13175848","台灣百鶴海產企業有限公司","高雄市新興區明星街71號14樓之2","","10000000","0910604","1040302"
"69","13199497","嘉郡建設股份有限公司","高雄市新興區民生1路56號14樓之5","","30000000","0920307","1040312"
"70","13199905","東利奇企業股份有限公司","臺中市西屯區市政路89號11樓之5","","3000000","0920313","1040306"
"71","15849398","日日家具有限公司","臺北市萬華區東園街90號之11樓","","1000000","0671212","1040326"
"72","16028139","僑陽企業有限公司","臺中市西屯區四川路120巷32號1樓","","1000000","0860606","1040319"
"73","16062311","智懋企業有限公司","桃園市蘆竹區長興里南崁路二段一二五號","","2000000","0860710","1040320"
"74","16065817","年嶸股份有限公司","宜蘭縣羅東鎮東安里陽明路162號1樓","","20000000","0860714","1040310"
"75","16075955","南輝重機企業有限公司","高雄市仁武區中華里華園街四七巷一號","","1000000","0860725","1040306"
"76","16124484","三加三餐飲事業股份有限公司","高雄市苓雅區林泉街77號","","15000000","0870109","1040226"
"77","16126053","樺瑋有限公司","高雄市苓雅區苓中路163號6樓之1","","500000","0870209","1040318"
"78","16127481","影橋攝影事業有限公司","高雄市三民區民豐路40號","","500000","0870223","1040304"
"79","16134309","第四波國際股份有限公司","臺北市信義區莊敬路309號6樓","","5000000","0860716","1040326"
"80","16152024","金順利廣告股份有限公司","臺北市信義區基隆路2段23號8樓之1","","5000000","0860828","1040302"
"81","16204965","勝音汽車音響有限公司","彰化縣員林鎮新生里至善街2號1樓","","6000000","0860825","1040324"
