"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
"1","00128554","宏明報關有限公司","基隆市仁愛區忠一路二六號三樓之三","","2000000","0610323","1031007"
"2","01811082","銘正特殊印刷有限公司","臺北市大同區承德路3段129巷8號1樓","","3000000","0741021","1031009"
"3","03545300","福德行照相器材圖書儀器貿易股份有限公司","臺北市中正區重慶南路1段57號12樓之10","","29260000","0530324","1031007"
"4","04273782","國新裝潢有限公司","臺北市大安區杭州南路2段61巷28號","","2000000","0650625","1031020"
"5","04282522","東橫企業股份有限公司","臺北市大同區承德路3段58號12樓之2","","3000000","0620223","1031020"
"6","04505946","鑫兵實業股份有限公司","臺北市大同區太原路115巷11號4樓","","20000000","0710326","1031009"
"7","04548781","厚成實業股份有限公司","臺北市中正區三元街198號","","15000000","0631015","1031007"
"8","04757674","春蓁實業有限公司","臺北市南港區玉成街201巷8弄6號2樓","","8000000","0650611","1031023"
"9","04817883","進明有限公司","新北市板橋區南雅南路2段4巷15號","","1600000","0700911","1031014"
"10","04992066","好林股份有限公司","臺北市信義區吳興街141號5樓","","6000000","0650731","1031029"
"11","05086857","好隆有限公司","臺北市中山區長安東路2段246號7樓","","5000000","0700316","1031022"
"12","05506041","葉昌工程有限公司","臺北市文山區福興路63巷4弄16號","","3000000","0730705","1031023"
"13","05705409","佑程企業有限公司","臺北市中山區中山北路1段66號5樓","","1000000","0730806","1031029"
"14","07152213","全進五金工廠有限公司","新北市三重區頂崁里中山路260號1樓","","12000000","0581216","1031001"
"15","11090921","文瑞企業有限公司","臺北市松山區健康路325巷12弄6號1樓","","5000000","0590702","1031015"
"16","11336283","明日實業有限公司","臺北市大安區忠孝東路4段285號9樓之3","","7500000","0610203","1031013"
"17","12159855","仁舜有限公司","臺北市中山區建國北路2段85號6樓","","5000000","0670301","1031013"
"18","12169214","納瑞企業有限公司","臺北市中山區中山北路1段64號4樓","","5000000","0670317","1031031"
"19","12186396","福記金屬有限公司","桃園縣八德市大榮里大義街65號","","5000000","0670809","1031007"
"20","12271371","來誼股份有限公司","臺北市中正區新生南路1段50號9樓900室","","5000000","0690403","1031027"
"21","12298548","美吾家有限公司","臺北市大安區和平東路3段416巷7號","","5000000","0690925","1031015"
"22","12352795","霸洋紡業股份有限公司","臺北市中山區四平街55號7樓","","6000000","0701014","1031022"
