序號,統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准解散日期
66,16049520,睦友機電有限公司,新北市金山區忠孝一路五二號一樓,null,10000000,0860627,1030418
67,16050639,萬烽實業股份有限公司,桃園縣楊梅市紅梅里中山路236號3樓,null,29000000,0860630,1030407
68,16166809,高穩投資股份有限公司,臺北市大安區臥龍街269號5樓,null,12000000,0861013,1030417
69,16179754,大企國際有限公司,臺北市信義區永吉路122號8樓,null,6400000,0861119,1030402
70,16185691,富比利實業股份有限公司,臺中市大雅區科雅路41號2樓,null,70000000,0860802,1030429
71,16211207,新利國際股份有限公司,雲林縣斗六市信義里民生路156號7樓之2,null,5000000,0860901,1030401
72,16211895,營洲企業有限公司,宜蘭縣冬山鄉永美村永安路23巷5弄7號1樓,null,3000000,0860902,1030416
73,16241461,新哥事業有限公司,桃園縣龜山鄉文興路213號3樓之1,null,5000000,0861013,1030418
74,16284756,貫訊科技有限公司,臺北市文山區忠順街2段63號1樓,null,1000000,0861201,1030401
75,16304471,博軒顧問有限公司,臺北市中正區延平南路21號4樓,null,500000,0870212,1030424
76,16347458,家喻國際股份有限公司,雲林縣莿桐鄉大美村大美1-15號,null,10000000,0861219,1030403
77,16356081,雍明貿易有限公司,臺中市東區大智路４２０號１樓,null,5000000,0861231,1030424
78,16423862,百利新金屬有限公司,新北市三重區正義北路三三巷四八號︵四樓︶,null,500000,0870410,1030407
79,16522737,拜歐生活有限公司,新北市鶯歌區中山路１３８巷３號之５，１樓,null,3000000,0870609,1030401
80,16527872,大新營造有限公司,臺南市新化區太平街一五○巷六九之一號一樓,null,3000000,0870616,1030409
81,16527901,台聯開發顧問股份有限公司,桃園縣中壢市嘉興街63號,null,9000000,0870616,1030409
82,16531980,亨泰建材有限公司,苗栗縣後龍鎮埔頂里9鄰中心路91-1號,null,1000000,0870622,1030429
83,16549969,那魯灣企業有限公司,花蓮縣花蓮市主工里信義街六六號,null,3000000,0870716,1030428
84,16676660,三澤建設股份有限公司,新北市土城區中正路1號9樓之7,null,25000000,0871015,1030402
85,16678463,東會戶外用品有限公司,臺中市北屯區平安里文心路4段696號25樓,null,5000000,0871019,1030407
86,16685443,百奕來電子有限公司,臺中市大雅區中清路一段一五二號,null,6000000,0871029,1030428
87,16695104,富德康國際股份有限公司,臺中市龍井區忠和里中央路三段一三六巷五號,null,5000000,0871113,1030331
88,16710999,恆多有限公司,新北市土城區永寧里中央路3段244巷1號,null,1000000,0871210,1030402
89,16734129,興竹東汽車旅館有限公司,新竹縣竹東鎮榮華里北興路二段265、267、269、271、273、275、277、279號,null,6000000,0880120,1030411
90,16745575,優智旺光源股份有限公司,新竹縣竹北市泰和路82號,null,13000000,0871013,1030409
91,16777490,名爰企業股份有限公司,臺北市中山區中山北路2段45巷23號3樓之1,null,12600000,0880108,1030430
92,16798707,世佑數位科技股份有限公司,臺北市中正區漢口街1段132號3樓之5,null,32000000,0880403,1030408
93,16812617,江帆股份有限公司,高雄市苓雅區中華四路100號19樓,null,29000000,0880830,1030409
94,16865091,聲遠國際有限公司,新北市板橋區中山路2段465巷37號,null,1000000,0880302,1030408
95,16865578,信元金屬有限公司,臺南市北區中華北路二段221之3號,null,20000000,0880303,1030422
96,16890937,東振工程有限公司,新北市三重區頂崁街一四五號一樓,null,5000000,0880413,1030416
97,16943006,信竑電子有限公司,桃園縣平鎮市東勢里太平西路３７巷９弄７號１樓,null,30000000,0880617,1030421
98,16951687,昀大精密工業股份有限公司,臺中市大雅區四德里中山八路八五號,null,20000000,0880701,1030414
99,16988615,古物金農有限公司,新竹市光復路1段285巷4弄3號,null,500000,0880823,1030410
100,16993407,家鄰國際包裝有限公司,臺中市南區工學二街151巷25號1樓,null,1000000,0880830,1030403
101,20776297,嵩誠企業有限公司,臺北市信義區延壽街99號,null,1000000,0670124,1030422
102,20777009,蜜露有限公司,臺北市大安區臥龍街250號1樓,null,1500000,0670204,1030423
103,20826590,巴利貿易有限公司,臺北市信義區松山路541巷14弄3號1樓,null,5000000,0680703,1030428
104,20847722,升郁實業有限公司,臺北市松山區光復南路46巷16號1樓,null,3000000,null,1030430
105,21208364,合昇電機工業有限公司,臺北市松山區長安東路2段294號4樓之1,null,6000000,0730211,1030411
106,22073300,忠鋼企業經營顧問有限公司,臺中市北區大雅路313號,null,2000000,0750225,1030414
107,22150100,豪美骨科器材有限公司,臺北市內湖區洲子街65號5樓,null,8000000,0750522,1030409
108,22175279,豪廣企業有限公司,臺北市中山區松江路170巷34號2樓,null,5000000,0750726,1030401
109,22211248,鄔金企業股份有限公司,桃園縣桃園市忠義里大業路一段8號1樓之2,null,7200000,0750623,1030402
110,22226523,承倫工業有限公司,臺中市太平區中山路四段一二巷二八之四之二號,null,5000000,0750718,1030415
111,22347717,佳鋼工業股份有限公司,臺北市大同區長安西路45之1號4樓,null,10000000,0740807,1030417
112,22408811,千能企業有限公司,新北市永和區永寧街62巷5號3樓,null,3000000,0760318,1030429
113,22412414,勝偉有限公司,新北市三重區錦通街14號3樓,null,5000000,0760325,1030409
114,22415088,合雅實業股份有限公司,臺南市麻豆區麻口里1鄰麻豆口1之6號,null,8000000,0760328,1030418
115,22457116,明灣企業有限公司,臺北市大安區安和路2段5號4樓之3,null,5000000,0760522,1030401
116,22496357,光英汽車修護有限公司,新北市中和區永和路337之1號1樓,null,1000000,0760509,1030401
117,22563762,華陞企業有限公司,新北市新店區寶興路60巷42號,null,1000000,0760715,1030416
118,22566509,津宏企業有限公司,新北市中和區景新街六四巷一四號,null,1000000,0760721,1030402
119,22586370,金文發塑膠實業有限公司,臺南市北區大公里佑民街四二巷四五號,null,5000000,0760824,1030416
120,22609182,禾貿實業有限公司,臺北市大安區羅斯福路3段75號10樓,null,5000000,0760709,1030417
