"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
"859","28292099","聚鑫國際貿易有限公司","高雄市前鎮區修文街81號2樓","","4500000","0950918","1031224"
"860","28292540","東森數位攝影器材有限公司","高雄市鹽埕區大仁路73號","","500000","0950925","1031223"
"861","28294054","承懋商務諮詢顧問有限公司","高雄市左營區富國路185號16樓之2","","2500000","0951014","1031201"
"862","28295949","東京資產管理顧問有限公司","高雄市前鎮區民權二路8號5樓之1","","5000000","0951109","1031222"
"863","28304911","和渼食品有限公司","高雄市新興區復興2路326號15樓之3","","2000000","0960315","1031223"
"864","28305101","惠碩有限公司","高雄市鳳山區文德里文湖街19號8樓","","5000000","0960319","1031215"
"865","28305854","華太金屬工業股份有限公司","高雄市苓雅區中正一路151號1樓","","50000000","0960328","1031209"
"866","28306468","東岩開發有限公司","高雄市前鎮區佛公路171之1號1樓","","1000000","0960409","1031227"
"867","28320644","御誠建設有限公司","雲林縣斗六市三平里明德北路2段369號1樓","","1000000","0950523","1031212"
"868","28322306","振邑建設有限公司","新北市蘆洲區中原路７４號１樓","","25000000","0950525","1031212"
"869","28325628","德奎工程有限公司","新竹市香山區中埔里頂美街47巷18號1樓","","500000","0950530","1031225"
"870","28327442","樂神保齡球有限公司","苗栗縣竹南鎮龍山路3段146之2號","","500000","0950602","1031202"
"871","28327956","蘭雅飲品有限公司","新竹市東區三民里民權路77號1樓","","3000000","0950602","1031230"
"872","28330874","大錏有限公司","新北市三重區重新路3段46號7樓之5","","1000000","0950607","1031217"
"873","28335148","寓堡有限公司","臺中市北區陝西東二街50號3樓之3","","500000","0950613","1031222"
"874","28338898","泰山不動產有限公司","桃園市桃園區大有里大有路439號","","1000000","0950616","1031223"
"875","28341274","伯恩食品有限公司","新北市板橋區雙十路2段144號1樓","","1000000","0950621","1031210"
"876","28344462","沅瑾生技有限公司","新北市林口區粉寮路2段24號","","3000000","0950623","1031229"
"877","28348523","馳寶科技股份有限公司","臺中市南屯區黎明東街90號","","12960000","0950629","1031227"
"878","28348755","天億興業有限公司","臺中市大里區亞洲街119號2樓","","500000","0950630","1031228"
"879","28355642","統茂仲介有限公司","新竹縣竹北市莊敬北路86號1樓","","1500000","0950710","1031227"
"880","28357944","仙鶴實業有限公司","臺南市中西區永華一街96巷14號","","500000","0950713","1031203"
"881","28362242","汶信有限公司","新北市瑞芳區明燈路3段37之3號5樓","","1000000","0950719","1031203"
"882","28362952","佑鎔實業有限公司","臺中市烏日區溪壩里太明路成豐巷438弄10-11號4樓","","1000000","0950720","1031226"
"883","28363586","祥霖科技有限公司","桃園市桃園區國際路2段85號","","500000","0950720","1031230"
"884","28364677","新翰開發企業股份有限公司","臺北市信義區忠孝東路5段246號3樓","","2800000","0950721","1031230"
"885","28372446","經惠興業有限公司","新北市中和區員山里員山路466巷17弄5號","","1000000","0950802","1031219"
"886","28384180","弘順貿易有限公司","桃園市平鎮區振中街53號1樓","","5430000","0950818","1031230"
"887","28387193","竣淯清潔有限公司","桃園市觀音區草漯里五福街80巷13號","","1000000","0950823","1031202"
"888","28388165","清順發展股份有限公司","新北市永和區得和路373巷31弄13號1樓","","45800000","0950824","1031226"
"889","28392604","合輝科技有限公司","臺北市松山區南京東路4段45號3樓","","1000000","0950831","1031224"
"890","28395503","滿地富建設有限公司","雲林縣虎尾鎮西安里林森路二段145號","","3000000","0950905","1031208"
