"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
1,"01073254","摩根證券投資顧問股份有限公司","新北市板橋區文化路2段285號22樓","",0,"0740828","1021101"
2,"01176266","昌逵汽車材料有限公司","臺北市中山區合江街170巷15號1樓","",1000000,"0740805","1021101"
3,"01862455","泰藝工業股份有限公司","新北市新莊區新樹路六七巷二之五號一樓","",2000000,"0741016","1021104"
4,"02681973","華耀工業股份有限公司","桃園縣平鎮市高雙里復旦路3段97巷8號","",3000000,"0740801","1021127"
5,"04202675","樂敏股份有限公司","臺北市中正區峨嵋街68號2樓","",6000000,"0620319","1021112"
6,"04291727","自立衛生器材有限公司","新北市中和區民利街151號1樓","",2500000,"0620813","1021119"
7,"04382590","台匯企業股份有限公司","臺北市中山區民生東路1段29號9樓","",20000000,"0630627","1021126"
8,"04480635","台灣美奇龍股份有限公司","臺北市大同區太原路81號1樓","",11385000,"0670501","1021105"
9,"04755541","福原龍工業股份有限公司","臺北市南港區忠孝東路6段440號2樓","",20000000,"0650611","1021104"
10,"04823956","璋璟企業有限公司","新北市雙溪區新基里中華路101號","",5000000,"0710422","1021121"
11,"04885925","信毅汽車企業有限公司","臺北市文山區羅斯福路5段95之4號1樓","",1065000,"0681214","1021105"
12,"04901642","朝光水電工程股份有限公司","臺北市文山區景明路65號","",26000000,"0701209","1021129"
13,"05011792","維薇企業有限公司","臺北市中正區和平西路1段80號11樓之3","",5000000,"0680915","1021122"
14,"05427757","富奕科技股份有限公司","新北市板橋區溪崑二街118巷6號4樓","",6000000,"0910703","1021111"
15,"05431008","力嘉預拌水泥股份有限公司","臺北市大安區建國南路1段178號4樓","",20000000,"0740612","1021105"
16,"05708686","帥品服飾有限公司","臺北市中正區忠孝東路2段58號1樓","",6000000,"0730929","1021120"
17,"05961744","維鴻橡膠工業股份有限公司","彰化縣員林鎮三條里大同路一段１９號","",10000000,"0740610","1021128"
18,"06697032","金田針織股份有限公司","高雄市鳳山區鳳南路二六四號一、二樓","",6000000,"0740614","1021119"
19,"07720089","利全有限公司","臺北市大同區民樂街27號1樓","",1000000,"0730308","1021113"
20,"11367335","亞洲信託投資股份有限公司","臺北市中正區南海路3號12樓","",2412000000,"0610624","1021121"
21,"12117188","吉倫開發股份有限公司","臺北市中山區林森北路575號3樓之5","",10000000,"0660504","1021111"
22,"12168587","鉅伸企業有限公司","臺北市內湖區文德路171巷3弄28號2樓","",1200000,"0670428","1021121"
23,"12258665","石松企業有限公司","臺北市中山區民權東路1段38巷2號1樓之5","艾林榮蘭",1000000,"0681127","1021105"
24,"12263175","九榮股份有限公司","臺北市松山區民權東路3段142號13樓","",16000000,"0690130","1021122"
25,"12455075","伊蓉國際有限公司","臺北市中山區中山北路1段152號2樓","",2000000,"0720822","1021104"
26,"12602013","盈禹企業有限公司","新北市新莊區五權一路13號5樓之2","",1000000,"0890818","1021120"
27,"12639102","巨百實業有限公司","臺中市大甲區錦上街29巷26號一樓","",1000000,"0891021","1021118"
28,"12645147","滿有造型工程有限公司","臺中市南屯區大墩五街328-1號1樓","",500000,"0891031","1021107"
29,"12652364","鎮鑫求美有限公司","新北市林口區中山路522號3樓之1","",1000000,"0891002","1021111"
30,"12663159","美好樂科技休旅有限公司","臺北市大同區西寧北路78-18號9樓","",3000000,"0891109","1021121"
31,"12668014","百媚國際有限公司","新北市中和區中山路２段６６２號１樓","",500000,"0891127","1021111"
32,"12677549","心勤有限公司","臺北市內湖區安康路315巷14號","",500000,"0900102","1021119"
33,"12678006","鑫勝企業有限公司","新北市三峽區國慶路156號8樓之2","",15000000,"0900103","1021128"
34,"12693702","風華國際禮品有限公司","臺北市中山區吉林路267號5樓之2","",500000,"0900314","1021112"
35,"12722919","高升倉儲物流設備有限公司","臺南市永康區中正路256巷3之44號","",2000000,"0891218","1021114"
36,"12751478","琦文科技股份有限公司","新北市中和區中山路3段112號8樓","",30000000,"0900220","1021127"
37,"12769863","齊達貿易有限公司","新北市中和區民享街七九巷一之四號","",1000000,"0900322","1021121"
38,"12776484","厚金企業有限公司","新北市淡水區新生街五五巷三號","",5000000,"0900402","1021121"
39,"12780852","仲勝國際開發有限公司","臺北市大同區西寧北路37號","",10000000,"0900410","1021112"
40,"12791176","吉和工藝有限公司","新北市新莊區雙鳳路七三巷三二號","",2000000,"0900426","1021106"
41,"12793505","滾石視聽歌唱有限公司","臺中市豐原區南村里向陽路77號5樓","",1000000,"0900430","1021121"
42,"12803932","愛麗絲國際有限公司","桃園縣楊梅市中山北路一段293巷21號","",10000000,"0900516","1021127"
43,"12819370","日進精密股份有限公司","新北市林口區中正路57巷20號4樓","",50000000,"0900612","1021104"
44,"12823894","環桃聯合車業有限公司","桃園縣桃園市玉山里秀山路96巷26號","",1000000,"0900619","1021121"
45,"12840492","山芝林企業有限公司","臺中市沙鹿區洛泉里日新街23號","",1000000,"0900720","1021115"
46,"12868245","華泰數位股份有限公司","臺北市松山區光復南路32巷10號1樓","",10100000,"0900530","1021120"
47,"12871157","台佶殯葬服務有限公司","臺北市中山區中原街36號1樓","陳尚妏",1000000,"0900608","1021120"
48,"12885217","奕匠實業有限公司","彰化縣鹿港鎮洋厝里新厝巷30-1號","",1000000,"0900817","1021129"
49,"12911989","三峽鐘錶股份有限公司","新北市三峽區民生街一一○號一樓","",6000000,"0901012","1021121"
50,"12912559","瀧澤工程有限公司","新北市三重區三和路四段二三一巷五一號","",1000000,"0901015","1021129"
51,"12919429","石城有限公司","臺中市東勢區石城街石科巷九號","",1000000,"0901029","1021104"
52,"12922888","大田大生技有限公司","桃園縣桃園市寶慶路一三八巷三號","",1000000,"0901105","1021105"
53,"12991028","創源企業顧問有限公司","桃園縣中壢市仁和街15號","",500000,"0901211","1021127"
54,"12997156","黑岩設計工程有限公司","新北市三峽區添福里一鄰添福一一號","",1000000,"0901221","1021112"
55,"13007147","北榮實業有限公司","宜蘭縣壯圍鄉復興村壯濱路2段382號1樓","",1000000,"0910109","1021113"
56,"13012177","針順興業有限公司","桃園縣中壢市新中一街25巷21號","",1000000,"0910118","1021105"
57,"13014421","良啟科技股份有限公司","新北市新店區中正路538巷8號4樓","",10000000,"0910122","1021121"
58,"13016482","勁園科技有限公司","桃園縣蘆竹鄉奉化路九四號一樓","",1000000,"0910124","1021125"
59,"13035586","門工房國際有限公司","花蓮縣新城鄉新城村博愛路3號1樓","",2000000,"0910304","1021119"
