"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
1,"00865594","三亞電腦有限公司","基隆市仁愛區孝二路六十八號","",4000000,"0720611","1020611"
2,"03293108","貿嘉股份有限公司","臺北市內湖區瑞光路478巷18弄22號1樓","",12000000,"0540213","1020614"
3,"03443704","華豐影片有限公司","臺北市萬華區峨嵋街62號5樓","",10000000,"0511203","1020624"
4,"04210669","萬瀛有限公司","臺北市大安區新生南路3段2號7樓之5","",5000000,"0620829","1020627"
5,"04416775","大勤五金有限公司","臺北市大同區重慶北路3段199號10樓","",6000000,"0630511","1020626"
6,"04474866","久豐重機械材料有限公司","臺北市大同區長安西路216巷5號","",1000000,"0660623","1020625"
7,"04688678","建忠機械有限公司","臺北市內湖區內湖路1段91巷24弄9號1樓","",1000000,"0670525","1020626"
8,"04736550","正銓企業有限公司","臺北市松山區敦化北路155巷1號7樓","",1000000,"0641014","1020605"
9,"04882321","宗本企業有限公司","臺北市文山區木新路3段348號","",1000000,"0680613","1020618"
10,"04885072","建富工程有限公司","臺北市大同區長安西路82號3樓之1","",10000000,"0681119","1020613"
11,"04887450","永騰印刷有限公司","臺北市信義區吳興街50巷2號1樓","",5000000,"0690402","1020627"
12,"05129949","青軒有限公司","臺北市大同區環河北路1段103號9樓","",5000000,"0720420","1020605"
13,"05161320","德誠扯鈴專利有限公司","臺北市萬華區萬大路187巷19號1樓","",1000000,"0690219","1020611"
14,"05198277","多得實業有限公司","臺北市中正區和平西路2段11號8樓","",5000000,"0721003","1020628"
15,"07655616","百民實業有限公司","臺北市大同區塔城街37號10樓","",7000000,"0690711","1020627"
16,"07662861","榮利摺景企業有限公司","臺北市大同區延平北路3段61巷10號1樓","",5000000,"0700107","1020603"
17,"09417035","廣聯興業股份有限公司","臺北市大安區信義路4段306號14樓之2","",15000000,"0750711","1020606"
18,"09438550","傳納企業有限公司","臺北市內湖區基湖路3巷49號4樓","",5000000,"0721114","1020605"
19,"09444455","澄懋企業有限公司","臺北市大安區杭州南路2段65巷6號1樓","",1000000,"0730531","1020606"
20,"09490513","陸亞商業設計有限公司","臺北市文山區木新路2段111巷12弄18號1樓","",5000000,"0740925","1020605"
21,"11333671","金合發印鐵製罐廠股份有限公司","臺北市中山區遼寧街81巷12號","",16800000,"0601130","1020607"
22,"12189680","辰陽工程有限公司","臺北市北投區公館路234巷12號1樓","",2000000,"0670706","1020620"
23,"12422568","瑞可實業股份有限公司","新北市新店區復興里中正路五三九︱二號三樓","",3000000,"0720218","1020603"
24,"12535330","金章貿易有限公司","新北市永和區保福路二段八八巷二四號一樓","",5000000,"0740104","1020624"
25,"12608207","究視設計有限公司","新北市樹林區龍興街59巷9號1樓","",1000000,"0890830","1020621"
26,"12615805","杉騏實業有限公司","臺中市龍井區竹坑里竹師路一段210巷36之11弄40號1樓","",2000000,"0890913","1020627"
27,"12623713","東朋食品有限公司","新北市土城區學府路1段20巷29號3樓","",1000000,"0890926","1020603"
28,"12639948","緣貿有限公司","新北市永和區永和路一段四○號七樓之七","",3000000,"0891023","1020610"
29,"12658445","三泰國際有限公司","臺北市中山區建國北路2段260號3樓","",1000000,"0891024","1020621"
30,"12661223","維升有限公司","臺北市士林區延平北路5段6號1樓","",500000,"0891102","1020624"
31,"12668252","超導國際科技股份有限公司","臺北市中山區松江路363號12樓","",250000000,"0891127","1020625"
32,"12671876","丰翔電腦排版有限公司","臺北市大安區新生南路3段76巷12弄13號1樓","",500000,"0891208","1020611"
33,"12675839","多玩國股份有限公司","臺北市士林區中山北路6段90號7樓","",5000000,"0891226","1020617"
34,"12675970","龍泰機械工業股份有限公司","臺北市中山區建國北路2段139號10樓","",14000000,"0891226","1020604"
35,"12684372","加華企業有限公司","臺北市大同區寧夏路128號4樓","",2000000,"0900207","1020606"
36,"12699353","士崙科技股份有限公司","臺北市內湖區成功路2段512號5樓之1","",40000000,"0900402","1020625"
37,"12719983","彪達貿易有限公司","臺中市梧棲區大村里文昌路一八一號　　","",6800000,"0891213","1020624"
38,"12724310","柏客綠國際餐飲有限公司","臺中市南屯區五權西路二段690號1樓","",800000,"0891219","1020627"
39,"12737933","虹全企業有限公司","南投縣集集鎮集集里民生路123之1號","",1000000,"0900117","1020628"
